,id,texts,neg,neu,pos,compound
110,1380150118393991168,"RT @Premafrimin: $PREM #PREM #Zulu
𝐈𝐍𝐕𝐄𝐒𝐓𝐎𝐑𝐒 𝐅𝐋𝐎𝐂𝐊 𝐓𝐎 𝐋𝐈𝐓𝐇𝐈𝐔𝐌
Interest in the industry is resurgent as electric-vehicle targets set by glob…",0.0,0.87,0.13,0.4588
111,1380149993789530119,RT @PDChina: What a narrow escape! An electric motorcycle driver fortunately skipped away from the forklift ready to unload goods and his v…,0.0,0.817,0.183,0.5411
112,1380149969525571584,"#PresidentBidenTaxPlan eliminates fossil fuel subsidies of $35B, the new tax plan will support the adoption of burgeoning green technologies like adopting electric vehicle usage and sustainable sources of energy like wind and solar power.
#AmericanJobsPlan
https://t.co/z0EdqMCQVJ",0.0,0.766,0.234,0.8316
113,1380149948516208640,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
114,1380149883311697924,RT @Sokoto_Tracker: Nigeria launches its first solar-powered charging station in Sokoto for electric vehicle charging. The nation has an ab…,0.0,1.0,0.0,0.0
115,1380149762956009475,RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser,0.0,0.816,0.184,0.4019
116,1380149669381169157,"WorldStage Newsonline-- The Nigerian Institute of Transport Technology (NITT), Zaria has set up a 22-member project team for the development of  an electric vehicle.

Inaugurating the team on Thursdayin Zaria, , Mr Olorogun-John Inojeharho, Chairman,

https://t.co/OUQodIbjEF https://t.co/rNlVy9GBej",0.0,1.0,0.0,0.0
117,1380149643955335169,"With the number of electric vehicles on our roads set to increase tenfold by 2030, recycling their batteries is an essential step for a sustainable future. @Veolia @renault_uk @SolvayGroup @CIWM  https://t.co/3VeevAgDON",0.0,0.886,0.114,0.3818
118,1380149596928679941,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
119,1380149477865107459,"RT @mobilitycat: ""So please, if you drive an electric vehicle, switch on your sound emitter. After all, you wouldn’t drive at night without…",0.0,0.895,0.105,0.3804
120,1380149287804403717,RT @SawyerMerritt: BREAKING: The Biden administration's $174 Billion proposal to boost electric vehicles calls for $100 Billion in new cons…,0.0,0.876,0.124,0.4019
121,1380149252366639105,"RT @dougducey: Arizona is home to @LucidMotors’ electric vehicle manufacturing facility, which is expected to create 4,800 direct and indir…",0.0,0.9,0.1,0.2732
122,1380149200952918022,"RT @WBrettWilson: Saskatchewan's incoming electric vehicle tax sends 'wrong message,' advocates say - @GlobalNews

Well advocates also say…",0.153,0.743,0.104,-0.25
123,1380149189770874885,https://t.co/Mf5RsQ8J7O https://t.co/DhX823HbxV,0.0,1.0,0.0,0.0
124,1380149111555555329,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
125,1380149106140717058,RT @SawyerMerritt: BREAKING: The Biden administration's $174 Billion proposal to boost electric vehicles calls for $100 Billion in new cons…,0.0,0.876,0.124,0.4019
126,1380148997063593986,"RT @vincent13031925: Biden Administration's Proposal to Boost Electric Vehicle Sales Calls for $100 Billion in New Consumer Rebates

https:…",0.0,0.87,0.13,0.4019
127,1380148922727899138,"RT @GratomicInc: Gratomic Intends to Fully Power its Aukam Processing Facility Through Solar Energy by 2022

Click the link to view the ful…",0.0,0.913,0.087,0.2732
128,1380148867455459331,RT @UDUSOK: The National Automative Design and Development Council (NADDC) Electronic Vehicle Pilot Project in collaboration with Usmanu Da…,0.0,1.0,0.0,0.0
129,1380148845464670209,156 million Americans duped. Example:174 billion subsidizing electric vehicle development. #democRatsRthieves #DemocratsAreDestroyingAmerica https://t.co/VaQugOAxlW,0.189,0.811,0.0,-0.4215
130,1380148777353314307,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
131,1380148762891350018,"The Dixon City Council approved the first step in bringing more electric vehicle charging stations to town.
https://t.co/syJ1Dhlr76",0.0,0.859,0.141,0.4215
132,1380148702803857408,"RT @Premafrimin: $PREM #PREM #Zulu
𝐈𝐍𝐕𝐄𝐒𝐓𝐎𝐑𝐒 𝐅𝐋𝐎𝐂𝐊 𝐓𝐎 𝐋𝐈𝐓𝐇𝐈𝐔𝐌
Interest in the industry is resurgent as electric-vehicle targets set by glob…",0.0,0.87,0.13,0.4588
133,1380148663524155410,RT @eVolt_UK: #ThrowbackThursday We have been installing publicly available electric vehicle rapid chargers for over a decade.  10 years af…,0.0,1.0,0.0,0.0
134,1380148615511937025,"RT @NADDCouncil: The National Automotive Design and Development Council, NADDC, Invites the General public to the commissioning of the Firs…",0.0,1.0,0.0,0.0
135,1380148598399102976,RT @SawyerMerritt: BREAKING: The Biden administration's $174 Billion proposal to boost electric vehicles calls for $100 Billion in new cons…,0.0,0.876,0.124,0.4019
